Hunt Code,Unit/Description,Bag,Licenses,1st_choice_total_submissions,2nd_choice_total_submissions,3rd_choice_total_submissions,Total_all_submissions,1st_resident,2nd_resident,3rd_resident,Total_resident,1st_nonresident,2nd_nonresident,3rd_nonresident,Total_nonresident,1st_outfitter,2nd_outfitter,3rd_outfitter,Total_outfitter,Resident_successfull_draw_total,Nonresident_successfull_draw_total,Outiftter_successfull_draw_total,Total_drawn,Resident_percentage_allocation,nonresident_percentage_allocation,outfitter_percentage_allocation,total_allocation_of_available_tags,resident_1st_success,resident_2nd_success,resident_3rd_success,resident_4th_success,resident_total_success,nonresident_1st_success,nonresident_2nd_success,nonresident_3rd_success,nonresident_4th_success,nonresident_total_success,outfitter_1st_success,outfitter_2nd_success,outfitter_3rd_success,outfitter_4th_success,outfitter_total_success
DER-1-100,Unit 2A: youth only,FAD,25,64,62,64,190,63,54,53,170,1,6,11,18,0,2,0,2,23,2,0,25,92,8,0,100,18,4,1,0,23,0,2,0,0,2,0,0,0,0,0
DER-1-101,Unit 2A,FAD,150,491,444,616,1551,445,402,550,1397,45,36,58,139,1,6,8,15,130,9,11,150,86.67,6,7.33,100,79,25,26,0,130,2,4,3,0,9,1,6,4,0,11
DER-1-102,Unit 2A: private land only,FAD,40,17,1,8,26,14,1,8,23,3,0,0,3,0,0,0,0,17,3,0,20,42.5,7.5,0,50,14,1,2,0,17,3,0,0,0,3,0,0,0,0,0
DER-1-103,Unit 2A: youth only,FAD,15,97,220,161,478,71,135,113,319,23,74,36,133,3,11,12,26,13,1,1,15,86.67,6.67,6.66,100,5,5,3,0,13,0,1,0,0,1,0,0,1,0,1
DER-1-110,Unit 2B,FAD,275,1249,908,1060,3217,1150,794,921,2865,93,97,120,310,6,17,19,42,236,17,22,275,85.82,6.18,8,100,176,43,17,0,236,3,8,6,0,17,6,11,5,0,22
DER-1-111,Unit 2B: youth only,FAD,125,301,210,142,653,276,180,132,588,19,24,6,49,6,6,4,16,105,8,12,125,84,6.4,9.6,100,58,27,20,0,105,6,2,0,0,8,5,4,3,0,12
DER-1-112,Unit 2B: private land only,FAD,25,1,6,9,16,1,5,9,15,0,1,0,1,0,0,0,0,5,1,0,6,20,4,0,24,1,0,4,0,5,0,1,0,0,1,0,0,0,0,0
DER-1-113,Unit 2B,FAD,350,1029,2144,1177,4350,882,1861,950,3693,135,231,185,551,12,52,42,106,294,21,35,350,84,6,10,100,114,142,38,0,294,6,6,9,0,21,3,17,15,0,35
DER-1-114,Unit 2B: private land only,FAD,25,4,11,4,19,2,6,4,12,2,5,0,7,0,0,0,0,4,7,0,11,16,28,0,44,2,2,0,0,4,2,5,0,0,7,0,0,0,0,0
DER-1-115,Unit 2B,FAD,400,3612,2516,2069,8197,2901,1949,1569,6419,547,423,327,1297,164,144,173,481,336,24,40,400,84,6,10,100,243,71,22,0,336,12,7,5,0,24,15,13,12,0,40
DER-1-116,Unit 2B: private land only,FAD,75,28,6,19,53,19,2,10,31,9,4,1,14,0,0,8,8,29,14,7,50,38.67,18.67,9.33,66.67,19,1,9,0,29,9,4,1,0,14,0,0,7,0,7
DER-1-117,Unit 2B: youth only,FAD,25,1500,591,260,2351,875,404,189,1468,326,87,40,453,299,100,31,430,21,1,3,25,84,4,12,100,20,1,0,0,21,1,0,0,0,1,2,0,1,0,3
DER-1-127,Unit 2C,FAD,30,6836,1564,1095,9495,2276,1029,846,4151,2496,360,148,3004,2064,175,101,2340,26,1,3,30,86.67,3.33,10,100,23,3,0,0,26,0,1,0,0,1,3,0,0,0,3
DER-1-128,Unit 2C: private land only,FAD,8,15,4,6,25,13,4,6,23,2,0,0,2,0,0,0,0,8,0,0,8,100,0,0,100,6,0,2,0,8,0,0,0,0,0,0,0,0,0,0
DER-1-133,Unit 4: Humphries/Rio Chama/Sargent WMAs only,FAD,20,305,147,162,614,302,146,162,610,0,0,0,0,3,1,0,4,18,0,2,20,90,0,10,100,14,4,0,0,18,0,0,0,0,0,1,1,0,0,2
DER-1-134,"Unit 4: Humphries/Rio Chama/Sargent WMAs only, youth only",FAD,10,45,56,35,136,44,56,34,134,0,0,0,0,1,0,1,2,9,0,1,10,90,0,10,100,5,4,0,0,9,0,0,0,0,0,1,0,0,0,1
DER-1-135,Unit 4: private land only,FAD,175,119,37,74,230,62,27,71,160,43,9,3,55,14,1,0,15,83,47,14,144,47.43,26.86,8,82.29,62,10,11,0,83,43,2,2,0,47,14,0,0,0,14
DER-1-136,Unit 4: Humphries/Rio Chama/Sargent WMAs only,FAD,20,178,249,152,579,177,246,152,575,0,0,0,0,1,3,0,4,18,0,2,20,90,0,10,100,14,3,1,0,18,0,0,0,0,0,0,2,0,0,2
DER-1-137,Unit 4: private land only,FAD,175,96,105,36,237,56,91,34,181,27,14,1,42,13,0,1,14,137,25,13,175,78.29,14.28,7.43,100,56,58,23,0,137,24,1,0,0,25,13,0,0,0,13
DER-1-138,Unit 4: Humphries/Rio Chama/Sargent WMAs only,FAD,10,307,262,265,834,302,259,264,825,0,0,0,0,5,3,1,9,9,0,1,10,90,0,10,100,8,1,0,0,9,0,0,0,0,0,1,0,0,0,1
DER-1-139,Unit 4: private land only,FAD,10,116,33,36,185,108,33,35,176,4,0,1,5,4,0,0,4,9,0,1,10,90,0,10,100,9,0,0,0,9,0,0,0,0,0,1,0,0,0,1
DER-1-140,"Unit 4: Humphries/Rio Chama/Sargent WMAs only, youth only",FAD,5,183,129,88,400,183,128,87,398,0,0,0,0,0,1,1,2,5,0,0,5,100,0,0,100,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0
DER-1-144,Unit 5A: public land only,FAD,40,203,206,239,648,190,188,194,572,12,14,19,45,1,4,26,31,34,2,4,40,85,5,10,100,17,7,10,0,34,0,1,1,0,2,0,0,4,0,4
DER-1-145,Unit 5A: private land only,FAD,220,127,3,12,142,64,2,12,78,59,1,0,60,4,0,0,4,77,60,4,141,35,27.27,1.82,64.09,64,1,12,0,77,59,1,0,0,60,4,0,0,0,4
DER-1-150,Unit 5B,FAD,30,1880,3392,1072,6344,1377,1172,767,3316,394,1580,201,2175,109,640,104,853,26,1,3,30,86.67,3.33,10,100,22,4,0,0,26,0,1,0,0,1,0,3,0,0,3
DER-1-151,Unit 5B: youth only,FAD,10,438,407,176,1021,344,255,144,743,12,10,4,26,82,142,28,252,9,0,1,10,90,0,10,100,8,0,1,0,9,0,0,0,0,0,1,0,0,0,1
DER-1-154,Units 6A and 6C: mobility impaired only,FAD,20,131,63,39,233,120,62,36,218,4,0,2,6,7,1,1,9,17,1,2,20,85,5,10,100,13,3,1,0,17,1,0,0,0,1,2,0,0,0,2
DER-1-155,Units 6A and 6C,FAD,110,2266,2008,1599,5873,2092,1838,1445,5375,117,103,108,328,57,67,46,170,93,6,11,110,84.55,5.45,10,100,73,20,0,0,93,5,0,1,0,6,4,4,3,0,11
DER-1-158,Unit 7,FAD,30,259,634,646,1539,205,300,347,852,36,64,99,199,18,270,200,488,26,1,3,30,86.67,3.33,10,100,16,7,3,0,26,0,0,1,0,1,1,0,2,0,3
DER-1-164,"Unit 9, including Water Canyon WMA",FAD,15,196,140,155,491,194,134,151,479,1,5,4,10,1,1,0,2,13,1,1,15,86.67,6.67,6.66,100,12,1,0,0,13,0,0,1,0,1,0,1,0,0,1
DER-1-165,Unit 9: Marquez/LBar WMAs only,FAD,10,112,96,76,284,112,96,75,283,0,0,0,0,0,0,1,1,9,0,1,10,90,0,10,100,4,4,1,0,9,0,0,0,0,0,0,0,1,0,1
DER-1-166,"Unit 9, including Water Canyon WMA: youth only",FAD,10,49,43,45,137,47,43,43,133,0,0,0,0,2,0,2,4,9,0,1,10,90,0,10,100,7,1,1,0,9,0,0,0,0,0,0,0,1,0,1
DER-1-170,Unit 10: mobility impaired only,FAD,20,41,25,22,88,41,24,22,87,0,1,0,1,0,0,0,0,19,1,0,20,95,5,0,100,12,3,4,0,19,0,1,0,0,1,0,0,0,0,0
DER-1-171,Unit 10,FAD,70,531,326,294,1151,513,305,281,1099,17,18,12,47,1,3,1,5,64,4,2,70,91.43,5.71,2.86,100,56,8,0,0,64,3,1,0,0,4,1,1,0,0,2
DER-1-172,Unit 10,FAD,65,108,504,289,901,101,487,281,869,7,16,7,30,0,1,1,2,61,4,0,65,93.85,6.15,0,100,16,39,6,0,61,2,1,1,0,4,0,0,0,0,0
DER-1-173,Unit 10,FAD,90,242,315,538,1095,232,306,513,1051,10,9,23,42,0,0,2,2,84,5,1,90,93.33,5.56,1.11,100,46,22,16,0,84,3,0,2,0,5,0,0,1,0,1
DER-1-174,Unit 10: youth only,FAD,25,76,57,52,185,75,53,51,179,1,4,1,6,0,0,0,0,23,2,0,25,92,8,0,100,9,8,6,0,23,0,2,0,0,2,0,0,0,0,0
